order_id,product_category,quantity,supplier_country,customer_country,transport_mode,distance_km,order_days,transport_days,total_delivery_days,transport_cost_usd,storage_cost_usd,delay,delay_days,stockout,season,fill_rate_pct,cost_per_km,delay_probability,inventory_turnover,lead_time_variability
75722,Machinery,509,India,Japan,rail,2662.0,3,45,52,2839.33,14.66,no,0,no,winter,96.7,1.0666153268219383,0.1,4.624001135106277,15.19981997143669
80185,Clothing,280,Japan,India,air,6465.0,2,12,17,37692.03,6.81,no,0,no,winter,95.3,5.830167053364269,0.1,7.633657362189315,8.817670958148845
19865,Machinery,765,Brazil,UK,sea,6326.0,5,60,66,0.0,27.07,no,0,no,summer,91.3,0.0,0.1,7.048845814424104,8.823788990938434
76700,Food,413,China,Japan,sea,13457.0,3,60,65,0.0,19.64,no,0,no,spring,94.9,0.0,0.1,8.917976699904003,8.823788990938434
92992,Food,906,France,UK,sea,9225.0,3,60,65,0.0,16.06,no,0,no,spring,91.1,0.0,0.1,4.081934651441089,8.823788990938434
76435,Machinery,175,Germany,Japan,sea,8586.0,5,60,66,0.0,21.24,no,0,no,summer,90.5,0.0,0.1,10.05337149268896,8.823788990938434
84005,Electronics,812,France,Japan,air,4570.0,5,7,15,26307.01,4.16,no,0,no,summer,90.6,5.7564573304157545,0.1,11.659952630708652,8.817670958148845
80918,Pharma,139,China,China,road,7428.0,5,60,66,8710.61,24.3,no,0,no,autumn,90.3,1.1726723209477652,0.1,9.204690556945835,16.926536614561726
60768,Machinery,660,Germany,UK,road,329.0,2,3,8,319.93,1.43,no,0,no,winter,97.6,0.9724316109422493,0.1,10.853981582302751,16.926536614561726
50075,Clothing,814,Germany,Germany,sea,11491.0,3,60,64,0.0,15.42,no,0,no,winter,90.7,0.0,0.1,5.29794771094095,8.823788990938434
27702,Electronics,789,France,China,sea,2404.0,3,60,65,0.0,26.97,yes,3,no,autumn,93.2,0.0,0.1,6.333485255260764,8.823788990938434
42142,Food,415,Brazil,Japan,air,10576.0,5,22,31,43497.19,6.3,no,0,no,spring,90.7,4.112820537065053,0.1,7.250427741851868,8.817670958148845
45081,Food,616,USA,France,sea,10610.0,3,60,64,0.0,23.45,no,0,no,summer,,0.0,0.1,5.829394907971676,8.823788990938434
16639,Clothing,160,UK,Germany,air,6561.0,3,13,19,,8.89,no,0,yes,summer,86.4,5.777006553878982,0.1,7.630530283245376,8.817670958148845
20425,Pharma,37,UK,France,road,2134.0,6,27,37,2219.43,6.15,no,0,no,winter,95.5,1.040032802249297,0.1,8.493558096141484,16.926536614561726
88703,Pharma,33,India,UK,road,11275.0,2,60,65,10300.93,20.87,no,0,no,autumn,93.1,0.9136079822616409,0.1,4.098951414551961,16.926536614561726
150,Machinery,275,France,Germany,rail,14616.0,2,60,63,11797.65,25.41,no,0,no,summer,,0.807173645320197,0.1,5.220644104325558,15.19981997143669
1762,Electronics,435,Germany,Japan,sea,7091.0,3,60,64,0.0,14.66,no,0,no,autumn,90.2,0.0,0.1,6.83951348133273,8.823788990938434
63121,Electronics,644,UK,India,sea,5610.0,3,60,67,0.0,30.14,no,0,no,summer,100.0,0.0,0.1,6.2967646074787815,8.823788990938434
69162,Pharma,326,USA,Germany,air,8839.0,5,17,24,37898.92,6.71,no,0,no,autumn,91.7,4.287693177961308,0.1,4.3641843261207605,8.817670958148845
64884,Pharma,45,Germany,Brazil,air,814.0,2,1,6,4878.79,2.94,no,0,no,summer,93.0,5.993599508599509,0.1,5.882870257284257,8.817670958148845
2496,Clothing,266,USA,Brazil,sea,1860.0,3,60,67,0.0,31.05,no,0,no,summer,95.8,0.0,0.1,11.999262997577187,8.823788990938434
80297,Electronics,742,China,China,sea,8137.0,1,60,64,0.0,29.51,no,0,no,autumn,90.7,0.0,0.1,11.634026229419707,8.823788990938434
19448,Food,619,India,Japan,sea,4032.0,4,60,67,0.0,24.94,no,0,no,autumn,94.8,0.0,0.1,9.568075725989953,8.823788990938434
41332,Machinery,978,Germany,India,road,14805.0,4,60,68,13646.27,29.87,yes,11,no,spring,98.2,0.9217338736913205,0.1,4.6657592923766575,16.926536614561726
14889,Food,249,India,USA,road,14414.0,2,60,64,15086.91,17.46,no,0,no,autumn,94.7,1.0466844734286112,0.1,11.839762167216666,16.926536614561726
88637,Machinery,505,Germany,France,road,8775.0,2,60,66,8578.84,26.76,no,0,no,winter,92.9,0.9776455840455841,0.1,8.216814156433701,16.926536614561726
94893,Pharma,644,China,Japan,road,2493.0,5,32,41,2180.81,19.07,no,0,no,summer,95.1,0.8747733654231848,0.1,11.540337988193983,16.926536614561726
92732,Electronics,535,France,India,sea,1539.0,4,60,65,0.0,15.3,no,0,no,spring,98.0,0.0,0.1,10.574232646648223,8.823788990938434
29131,Electronics,868,Brazil,Germany,road,5339.0,3,60,67,5794.91,14.43,no,0,no,autumn,97.4,1.0853923955796965,0.1,10.41980168576173,16.926536614561726
79023,Clothing,990,Japan,Germany,sea,11512.0,4,60,67,0.0,7.84,no,0,no,autumn,94.7,0.0,0.1,6.752940532138004,8.823788990938434
84937,Clothing,196,Japan,India,road,1226.0,4,15,20,1249.12,9.07,no,0,no,summer,99.4,1.018858075040783,0.1,7.895274305707349,16.926536614561726
16822,Pharma,491,France,Japan,sea,8238.0,3,60,67,0.0,9.79,no,0,no,winter,91.6,0.0,0.1,10.962992949885548,8.823788990938434
36734,Food,19,UK,Brazil,sea,10538.0,2,60,64,0.0,17.36,yes,3,no,autumn,99.0,0.0,0.1,4.402202583342855,8.823788990938434
15603,Clothing,27,UK,Germany,sea,14476.0,5,60,67,0.0,11.5,yes,1,no,autumn,92.6,0.0,0.1,7.525304268216141,8.823788990938434
28534,Pharma,907,USA,France,air,709.0,5,1,7,3855.46,0.82,yes,4,no,winter,99.7,5.437884344146686,0.1,5.988265239377571,8.817670958148845
